Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01709.90","Other pulses n.e.c.","2021","2021","t","29371.04","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2021","2021","t","613.92","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2021","2021","t","55684.46","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01705","Peas, dry","2021","2021","t","663.8","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01510","Potatoes","2021","2021","t","58.64","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","02951.01","Raw hides and skins of cattle","2021","2021","t","4925.67","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","02954","Raw hides and skins of goats or kids","2021","2021","t","754.6","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","02953","Raw hides and skins of sheep or lambs","2021","2021","t","688.25","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","02293","Raw milk of camel","2021","2021","t","12237.99","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","02211","Raw milk of cattle","2021","2021","t","120000","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","02292","Raw milk of goats","2021","2021","t","9387.43","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","02291","Raw milk of sheep","2021","2021","t","5802.69","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","01444","Sesame seed","2021","2021","t","5075.87","I","Imputed value",""
"QCL","Crops and livestock products","232","Eritrea","5510","Production","21514","Sheep fat, unrendered","2021","2021","t","205.01","I","Imputed value",""
